parent_slug,parent_uuid,subevent_name,subevent_id,subevent_date,year,reconstructed
im-australia,a598aa20-f278-e111-b16a-005056956277,2005 IRONMAN Australia: Triathlon,350ca926-af5a-e211-b7a2-005056956277,4/3/2005,2005,
im-australia,a598aa20-f278-e111-b16a-005056956277,2006 IRONMAN Australia: Triathlon,1714d0b1-4eae-e111-80ae-005056956277,4/2/2006,2006,
im-australia,a598aa20-f278-e111-b16a-005056956277,2007 IRONMAN Australia: Triathlon,3aef9550-af5a-e211-b7a2-005056956277,4/1/2007,2007,
im-australia,a598aa20-f278-e111-b16a-005056956277,2008 IRONMAN Australia: Triathlon,34838374-af5a-e211-b7a2-005056956277,4/6/2008,2008,
im-australia,a598aa20-f278-e111-b16a-005056956277,2009 IRONMAN Australia: Triathlon,0a787398-af5a-e211-b7a2-005056956277,4/5/2009,2009,
im-australia,a598aa20-f278-e111-b16a-005056956277,2010 IRONMAN Australia: Triathlon,110c61bc-af5a-e211-b7a2-005056956277,3/28/2010,2010,
im-australia,a598aa20-f278-e111-b16a-005056956277,2011 IRONMAN Australia: Triathlon,e716d0b1-4eae-e111-80ae-005056956277,5/1/2011,2011,
im-australia,a598aa20-f278-e111-b16a-005056956277,2012 IRONMAN Australia: Triathlon,0518d0b1-4eae-e111-80ae-005056956277,5/6/2012,2012,
im-australia,a598aa20-f278-e111-b16a-005056956277,2013 IRONMAN Australia: Triathlon,04626994-3055-e211-b7a2-005056956277,5/5/2013,2013,
im-australia,a598aa20-f278-e111-b16a-005056956277,2014 IRONMAN Australia,1c4952b5-7a15-e311-9ec7-005056956277,5/4/2014,2014,
im-australia,a598aa20-f278-e111-b16a-005056956277,2015 IRONMAN Australia,bdcc3b32-e117-4063-97e7-5566c0cfdea8,5/3/2015,2015,
im-australia,a598aa20-f278-e111-b16a-005056956277,2016 IRONMAN Australia,edc04f23-14ff-e411-9401-005056951bf1,5/1/2016,2016,
im-australia,a598aa20-f278-e111-b16a-005056956277,2017 IRONMAN Australia,5cff01a4-f212-e611-940d-005056951bf1,5/7/2017,2017,
im-australia,a598aa20-f278-e111-b16a-005056956277,2018 IRONMAN Australia,251ef595-b531-e711-9416-005056951bf1,5/6/2018,2018,
im-australia,a598aa20-f278-e111-b16a-005056956277,2019 IRONMAN Australia,bdbcb18e-d74f-e811-941e-005056951bf1,5/5/2019,2019,
im-australia,a598aa20-f278-e111-b16a-005056956277,2022 IRONMAN Australia,a35d2354-0a22-452d-b7a3-0d1c4b9299da,5/1/2022,2022,
