race_id,race_name,race_type,region,race_date,race_year,unix_timestamp
1,Ironman Arizona 2012,im,NA,2012-11-17,2012,1353196800
2,Ironman Australia 2012,im,Australia,2012-05-05,2012,1336262400
3,Ironman Austria 2012,im,Euro,2012-06-30,2012,1341100800
4,Ironman Brazil 2012,im,SA,2012-05-26,2012,1338076800
5,Ironman Cairns 2012,im,Australia,2012-06-02,2012,1338681600
7,Ironman Coeur d'Alene 2012,im,NA,2012-06-23,2012,1340496000
8,Ironman Cozumel 2012,im,NA,2012-11-24,2012,1353801600
9,Ironman Florida 2012,im,NA,2012-11-02,2012,1351900800
10,Ironman France 2012,im,Euro,2012-06-23,2012,1340496000
11,Ironman Frankfurt 2012,im,Euro,2012-07-07,2012,1341705600
13,Ironman Lake Placid 2012,im,NA,2012-07-21,2012,1342915200
14,Ironman Lanzarote 2012,im,Euro,2012-05-18,2012,1337385600
15,Ironman Louisville 2012,im,NA,2012-08-25,2012,1345939200
16,Ironman Melbourne 2012,im,Australia,2012-03-24,2012,1332633600
17,Ironman Mont-Tremblant 2012,im,NA,2012-08-18,2012,1345334400
18,Ironman New York 2012,im,NA,2012-08-10,2012,1344643200
20,Ironman Regensburg 2012,im,Euro,2012-06-16,2012,1339891200
21,Ironman South Africa 2012,im,Africa,2012-04-07,2012,1333843200
22,Ironman St George 2012,im,NA,2012-05-04,2012,1336176000
23,Ironman Sweden 2012,im,Euro,2012-08-17,2012,1345248000
24,Ironman Switzerland 2012,im,Euro,2012-07-14,2012,1342310400
25,Ironman Texas 2012,im,NA,2012-05-18,2012,1337385600
26,Ironman UK 2012,im,Euro,2012-07-20,2012,1342828800
27,Ironman Wales 2012,im,Euro,2012-09-15,2012,1347753600
28,Ironman Western Australia 2012,im,Australia,2012-12-08,2012,1355011200
29,Ironman Wisconsin 2012,im,NA,2012-09-08,2012,1347148800
30,Ironman Wales 2011,im,Euro,2011-09-10,2011,1315699200
31,Ironman Wisconsin 2011,im,NA,2011-09-10,2011,1315699200
32,Ironman Florida 2011,im,NA,2011-11-04,2011,1320451200
33,Ironman Arizona 2011,im,NA,2011-11-19,2011,1321747200
34,Ironman Cozumel 2011,im,NA,2011-11-26,2011,1322352000
35,Ironman Western Australia 2011,im,Australia,2011-12-03,2011,1322956800
36,Ironman New Zealand 2011,im,Australia,2011-03-04,2011,1299283200
37,Ironman New Zealand 2010,im,Australia,2010-03-05,2010,1267833600
38,Ironman New Zealand 2009,im,Australia,2009-03-06,2009,1236384000
39,Ironman New Zealand 2008,im,Australia,2008-02-29,2008,1204329600
40,Ironman New Zealand 2007,im,Australia,2007-03-02,2007,1172880000
41,Ironman New Zealand 2005,im,Australia,2005-03-04,2005,1109980800
42,Ironman New Zealand 2004,im,Australia,2004-03-05,2004,1078531200
43,Ironman New Zealand 2003,im,Australia,2003-02-28,2003,1046476800
44,Ironman New Zealand 2013,im,Australia,2013-03-01,2013,1362182400
45,Ironman South Africa 2007,im,Africa,2007-03-16,2007,1174089600
46,Ironman South Africa 2008,im,Africa,2008-04-11,2008,1207958400
47,Ironman South Africa 2009,im,Africa,2009-04-04,2009,1238889600
48,Ironman South Africa 2010,im,Africa,2010-04-24,2010,1272153600
49,Ironman South Africa 2011,im,Africa,2011-04-08,2011,1302307200
50,Ironman Los Cabos 2013,im,NA,2013-03-16,2013,1363478400
51,Ironman Melbourne 2013,im,Australia,2013-03-23,2013,1364083200
52,Ironman South Africa 2013,im,Africa,2013-04-13,2013,1365897600
53,Ironman Australia 2005,im,Australia,2006-04-02,2005,1144022400
54,Ironman Australia 2006,im,Australia,2006-03-17,2006,1142640000
55,Ironman Australia 2007,im,Australia,2007-03-31,2007,1175385600
56,Ironman Australia 2008,im,Australia,2008-06-03,2008,1212537600
57,Ironman Australia 2009,im,Australia,2009-05-03,2009,1241395200
58,Ironman Australia 2010,im,Australia,2010-03-27,2010,1269734400
59,Ironman Australia 2011,im,Australia,2011-04-30,2011,1304208000
60,Ironman Australia 2013,im,Australia,2013-05-04,2013,1367712000
61,Ironman Lanzarote 2008,im,Euro,2008-05-23,2008,1211587200
62,Ironman Lanzarote 2009,im,Euro,2009-05-22,2009,1243036800
63,Ironman Lanzarote 2010,im,Euro,2010-05-20,2010,1274400000
64,Ironman Lanzarote 2011,im,Euro,2011-05-20,2011,1305936000
65,Ironman Texas 2011,im,NA,2011-05-20,2011,1305936000
66,Ironman Lanzarote 2013,im,Euro,2013-05-17,2013,1368835200
67,Ironman Texas 2013,im,NA,2013-05-17,2013,1368835200
68,Ironman Brazil 2006,im,SA,2006-05-27,2006,1148774400
69,Ironman Brazil 2007,im,SA,2007-05-25,2007,1180137600
70,Ironman Brazil 2008,im,SA,2008-05-24,2008,1211673600
