# generated: 2026-08-25T16:49:33+00:00
# host: seffrin-server  python: 3.13.12  pandas: 3.0.2
# source: ironman_merged.csv  bytes: 516161658  mtime: 2026-03-28T11:07:15+00:00
# deterministic: no sampling, no randomness, no seed required
year,races,pairs,exact,match_exact,match_norm,match_canon,agreement_pct
2003,3,28492,28492,94.82421875,94.921875,95.1171875,100.0
2004,3,34113,34113,95.8904109589041,95.8904109589041,96.02297834732656,100.0
2005,5,44031,43776,98.57761286332715,98.57761286332715,98.7012987012987,99.42086257409552
2006,7,63004,62989,95.37885095753539,95.46211490424646,95.503746877602,99.9761919878103
2007,8,70861,70858,94.19466048027701,94.6162677920378,94.92043129820044,99.99576635949254
2008,8,80246,80177,91.16762638362852,92.49170070576749,93.2004978439102,99.91401440570246
2009,9,86260,86238,88.97233201581028,89.56521739130436,90.08498583569406,99.97449571064224
2010,9,82989,80916,88.12199036918138,88.36846213895394,90.07768361581921,97.50207858872862
2011,11,108214,108161,87.60402978537013,89.3312101910828,89.91657598839318,99.95102297299795
2012,14,127790,127678,88.48389746393103,88.93945716677813,89.90925602067601,99.91235620940606
2013,16,150299,146857,87.60718405009062,88.09534127843986,89.68230013742325,97.70989826944957
2014,19,181749,172902,88.92857142857142,89.21977367480643,89.99250374812594,95.13229783932786
2015,22,203933,203428,89.34156700953056,90.15758907302065,91.04316280087798,99.75236965081669
2016,22,212461,208022,90.09340862837587,91.66730355348551,92.20609534009725,97.91067537100928
2017,23,220170,190048,0.0,1.0865022983702466,93.09900032247663,86.3187536903302
2018,25,223897,216619,0.0,0.5839917554105118,93.34207937028533,96.74939816076143
2019,24,223941,223394,0.0,0.6108728752990895,93.50594950728424,99.75573923488777
2020,5,22367,22367,93.6842105263158,94.47674418604652,94.62209302325581,100.0
2021,19,120323,120323,95.28089887640449,96.08595548733692,96.37074260189839,100.0
2022,24,201517,201512,95.45248958944458,95.76436390420368,96.03875911340712,99.99751881975219
2023,78,614132,614132,97.65577434805748,97.83695576229557,98.00504173088373,100.0
2024,102,821925,821880,97.5419175244384,97.81303465351795,97.93639284711895,99.99452504790584
2025,96,772191,771357,99.22623323754789,99.31595365418895,99.38456254387876,99.89199563320473
2026,7,37871,37871,99.83108108108108,99.83050847457628,99.83050847457628,100.0
