# generated: 2026-08-25T16:49:41+00:00
# host: seffrin-server  python: 3.13.12  pandas: 3.0.2
# source: ironman_merged.csv  bytes: 516161658  mtime: 2026-03-28T11:07:15+00:00
# deterministic: no sampling, no randomness, no seed required
race_year,has_t1,has_t2,n
2002,85.56,86.93,6487
2003,77.25,77.61,13880
2004,74.92,71.5,14927
2005,76.2,73.37,32078
2006,62.56,70.43,34645
2007,74.95,75.15,42291
2008,82.62,76.78,48156
2009,82.49,79.5,55535
2010,84.42,83.28,66235
2011,83.19,81.17,82383
2012,86.3,82.14,99752
2013,87.29,83.18,106987
2014,84.53,86.04,128140
2015,86.25,84.4,147189
2016,83.46,85.75,149482
2017,81.69,80.46,176496
2018,79.02,80.02,186231
2019,78.62,78.97,197043
2020,81.73,79.64,14167
2021,86.53,84.25,135564
2022,84.24,84.15,195539
2023,88.65,88.96,223525
2024,89.19,89.54,259248
2025,88.16,91.17,276016
2026,77.05,89.64,14926
